,label,code,entity
263,4346 Työvoiman vuokraus,2500788,KKNR
264,"4350 Painatukset, ilmoitukset ja markkinointi",2514900,KKNR
265,4360 Posti- ja kuriiripalvelut,2529012,KKNR
266,4370 Vakuutukset,2867700,KKNR
267,4380 Puhtaanapito- ja pesulapalvelut,2543124,KKNR
268,4390 Rakennusten ja alueiden rakentamis- ja kunnossapitopalvelut,2557236,KKNR
269,"4400 Koneiden, kaluston ja laitteiden rakentamis- ja kunnossapitopalvelut",2571348,KKNR
270,4410 Majoitus- ja ravitsemispalvelut,2585460,KKNR
271,4420 Matkustus- ja kuljetuspalvelut,2599572,KKNR
272,4430 Sosiaali- ja terveyspalvelut,2613684,KKNR
273,4440 Koulutus- ja kulttuuripalvelut,2627796,KKNR
274,4445 Koulutuskorvaukset työnantajille,2924148,KKNR
275,4450 Osuus verotuskustannuksiin,2641908,KKNR
276,4460 Muut yhteistoimintaosuudet,2656020,KKNR
277,4470 Muut palvelut,2670132,KKNR
278,4480 Aktivoidut palvelujen ostot,2684244,KKNR
279,"4500-4699 Aineet, tarvikkeet ja tavarat",426324,KKNR
280,4500-4699 Ostot tilikauden aikana,3559188,KKNR
281,4500 Toimisto- ja koulutarvikkeet,1936308,KKNR
282,4510 Kirjallisuus,1950420,KKNR
283,4520 Elintarvikkeet,1964532,KKNR
284,4530 Vaatteisto,1978644,KKNR
285,4533 Lääkkeet,2768916,KKNR
286,4534 Hoitotarvikkeet,2783028,KKNR
287,4550 Puhdistusaineet ja -tarvikkeet,1992756,KKNR
288,4560 Poltto- ja voiteluaineet,2006868,KKNR
289,4568 Lämmitys,2020980,KKNR
290,4569 Sähkö ja kaasu,2035092,KKNR
291,4570 Vesi,2049204,KKNR
292,4580 Kalusto,2063316,KKNR
293,4590 Rakennusmateriaali,2077428,KKNR
294,4600 Muu materiaali,2091540,KKNR
295,"4640 Pysyviin vastaaviin aktivoidut aineet, tarvikkeet ja tavarat",2105652,KKNR
296,4700-4799 Avustukset,3432180,KKNR
297,4700 - 4739 Avustukset kotitalouksille,2119764,KKNR
298,"4710 Omaishoidon tuki, hoitopalkkiot",2797140,KKNR
299,4712 Kotihoidon tuki,2952372,KKNR
300,4713 Kotihoidon tuen kuntalisä,2966484,KKNR
301,4714 Yksityisen hoidon tuki,2980596,KKNR
302,4715 Yksityisen hoidon tuen kuntalisä,2994708,KKNR
303,4716 Osittainen hoitoraha,3008820,KKNR
304,4717 Joustava hoitoraha,3022932,KKNR
305,4721 Täydentävä toimeentulotuki,2811252,KKNR
306,4722 Ehkäisevä toimeentulotuki,2825364,KKNR
307,4723 Täydentävän ja ehkäisevän toimeentulotuen takaisinperintä,2726580,KKNR
308,4739 Muut avustukset kotitalouksille,2133876,KKNR
309,4742 Avustukset yhteisöille,2147988,KKNR
310,4800-4995 Muut toimintakulut,3446292,KKNR
311,4800-4899 Vuokrakulut,2698356,KKNR
312,4810 Maa- ja vesialueiden vuokrakulut,1908084,KKNR
313,4820 Rakennusten ja huoneistojen vuokrat,2162100,KKNR
314,4830 Koneiden ja laitteiden vuokrat,2176212,KKNR
315,4890 Muut vuokrat,2190324,KKNR
316,4899 Aktivoidut vuokrakulut,3037044,KKNR
317,4900-4995 Muut kulut,2712468,KKNR
318,4901 Jätevero,821460,KKNR
319,4910 Muut välilliset ja välittömät verot,835572,KKNR
320,4920 Pysyvien vastaavien hyödykkeiden luovutustappiot,849684,KKNR
321,4921 Luottotappiot toimintatuotoista (myyntisaamiset),1089588,KKNR
322,4930 Takaustappiot,1103700,KKNR
323,4931 Takauskorvausten takaisinperinnät,1117812,KKNR
324,"4940 Muut toimintakulut, erittelemättömät",1131924,KKNR
325,4990 Aktivoidut muut kulut,1146036,KKNR
326,5000-5499 Verotulot,3460404,KKNR
327,5000 Kunnan tulovero,3474516,KKNR
328,5100 Kiinteistövero,1160148,KKNR
329,5200 Osuus yhteisöveron tuotosta,3502740,KKNR
330,5400 Muut verotulot,3516852,KKNR
331,5500-5899 Valtionosuudet,3530964,KKNR
332,5501-5503 Kunnan peruspalvelujen valtionosuus,1174260,KKNR
333,5501 Kunnan peruspalvelujen valtionosuus (ilman tasauksia),1188372,KKNR
