,suppl_id,suppl_number,suppl_name
938,2169970-3,,SUOMEN TEATTERIRAVINTOLAT OY /
981,1680140-0,,Lassila & Tikanoja Oyj
1009,0187383-1,,OULUN KEILAILUTALO OY
1036,2517508-5,,VRJ POHJOIS-SUOMI OY
1047,2160299-1,,SOL PALVELUT OY
1050,Puuttuu,,KUOPION KAUPUNKI
1069,Puuttuu,,KOTISEUTUSEURA OULUNSALO RY.
1070,0576797-2,,KEMIN VESI-PISTE OY
1076,2265415-2,,PPKY SELÄNNE
1077,2303565-2,,KK KANTO OY AVIDA FINANS AB
1096,1905481-8,,SUOMEN LÄHIKAUPPA OY
1107,0366233-3,,YMPÄRISTÖ JA TERVEYS-LEHTI
1177,2637990-1,,PARK BUFFET OY / TRUST-LASKUTU
1187,0289075-6,,GRANO OY
1265,0220266-9,,TYÖTERVEYSLAITOS
1270,2496986-0,,KAINUUN SOTE
1281,0116660-0,,LASTENSUOJELUN KESKUSLIITTO
