,code,name,city_or_mun,language,mun_center,province,subregion,population,area_total_km2,area_land_km2,population_density_km-2
72,214,Kankaanpää,kaupunki,suomi,Kankaanpään keskustaajama,Satakunta,Pohjois-Satakunnan seutukunta,12631,1037.87,1021.24,124.0
73,216,Kannonkoski,kunta,suomi,Kannonkosken kirkonkylä,Keski-Suomi,Saarijärven–Viitasaaren seutukunta,1294,54988.0,44501.0,29.0
74,217,Kannus,kaupunki,suomi,Kannuksen keskustaajama,Keski-Pohjanmaa,Kokkolan seutukunta,5386,47034.0,46804.0,115.0
75,218,Karijoki,kunta,suomi,Karijoen kirkonkylä,Etelä-Pohjanmaa,Suupohjan seutukunta,1198,18635.0,18558.0,65.0
76,224,Karkkila,kaupunki,suomi,Karkkilan keskustaajama,Uusimaa,Helsingin seutukunta,8717,25532.0,24235.0,36.0
77,226,Karstula,kunta,suomi,Karstulan kirkonkylä,Keski-Suomi,Saarijärven–Viitasaaren seutukunta,3733,96320.0,88707.0,42.0
78,230,Karvia,kunta,suomi,Karvian kirkonkylä,Satakunta,Pohjois-Satakunnan seutukunta,2271,51990.0,50222.0,45.0
79,231,Kaskinen,kaupunki,"suomi, ruotsi",Kaskisten keskustaajama,Pohjanmaa,Suupohjan rannikkoseutu,1288,1078.0,1063.0,1212.0
80,232,Kauhajoki,kaupunki,suomi,Kauhajoen keskustaajama,Etelä-Pohjanmaa,Suupohjan seutukunta,12840,1315.54,1298.99,99.0
81,233,Kauhava,kaupunki,suomi,Kauhavan keskustaajama,Etelä-Pohjanmaa,Seinäjoen seutukunta,15293,1328.38,1313.85,116.0
82,235,Kauniainen,kaupunki,"suomi, ruotsi",Kauniainen,Uusimaa,Helsingin seutukunta,10306,600.0,589.0,1749.7
83,236,Kaustinen,kunta,suomi,Kaustisen kirkonkylä,Keski-Pohjanmaa,Kaustisen seutukunta,4230,36109.0,35391.0,12.0
84,239,Keitele,kunta,suomi,Keiteleen kirkonkylä,Pohjois-Savo,Ylä-Savon seutukunta,2061,57830.0,48291.0,43.0
85,240,Kemi,kaupunki,suomi,Kemin keskustaajama,Lappi,Kemi–Tornion seutukunta,19724,10235.0,9532.0,2069.0
86,320,Kemijärvi,kaupunki,suomi,Kemijärven keskustaajama,Lappi,Itä-Lapin seutukunta,7059,3931.15,3504.37,2.0
87,241,Keminmaa,kunta,suomi,Laurila,Lappi,Kemi–Tornion seutukunta,7888,64812.0,62717.0,126.0
88,322,Kemiönsaari,kunta,"ruotsi, suomi",Kemiön kirkonkylä,Varsinais-Suomi,Turunmaan seutukunta,6638,69780.0,68690.0,97.0
89,244,Kempele,kunta,suomi,Asemanseutu,Pohjois-Pohjanmaa,Oulun seutukunta,19237,11031.0,11014.0,1747.0
90,245,Kerava,kaupunki,suomi,Keravan keskustaajama,Uusimaa,Helsingin seutukunta,37350,3079.0,3063.0,1219.4
